Paper Title,Authors,ID
Inertial Block Proximal Methods for Non-Convex Non-Smooth Optimization,"Hien Le, Nicolas Gillis, Panagiotis Patrinos",5876
Adversarial Neural Pruning with Latent Vulnerability Suppression,"Divyam Madaan, Jinwoo Shin, Sung Ju Hwang",5877
Lifted Disjoint Paths with Application in Multiple Object Tracking,"Andrea Hornakova, Roberto Henschel, Bodo Rosenhahn, Paul Swoboda",5878
"Being Bayesian, Even Just a Bit, Fixes Overconfidence in ReLU Networks","Agustinus Kristiadi, Matthias Hein, Philipp Hennig",5879
SCAFFOLD: Stochastic Controlled Averaging for Federated Learning,"Praneeth Karimireddy, Satyen Kale, Mehryar Mohri, Sashank Jakkam Reddi, Sebastian Stich, Ananda Theertha Suresh",5880
Statistically Preconditioned Accelerated Gradient Method for Distributed Optimization,"Hadrien Hendrikx, Lin Xiao, Sebastien Bubeck, Francis Bach, Laurent Massoulié",5881
Pretrained Generalized Autoregressive Model with Adaptive Probabilistic Label Cluster for Extreme Multi-label Text Classification,"Hui Ye, Zhiyu Chen, Da-Han Wang, Brian D Davison",5882
Frequentist Uncertainty in Recurrent Neural Networks via Blockwise Influence Functions,"Ahmed Alaa, Mihaela van der Schaar",5883
Disentangling Trainability and Generalization in Deep Neural Networks,"Lechao Xiao, Jeffrey Pennington, Samuel Schoenholz",5884
Moniqua: Modulo Quantized Communication in Decentralized SGD,"Yucheng Lu, Christopher De Sa",5885
Expectation Maximization with Bias-Corrected Calibration is Hard-To-Beat at Label Shift Adaptation,"Amr Mohamed Alexandari, Anshul Kundaje, Avanti Shrikumar",5886
"Expert Learning through Generalized Inverse Multiobjective Optimization: Models, Insights and Algorithms","Chaosheng Dong, Bo Zeng",5887
Random Matrix Theory Proves that Deep Learning Representations of GAN-data Behave as Gaussian Mixtures,"Mohamed El Amine Seddik, Cosme Louart, Mohamed Tamaazousti, Romain  COUILLET",5888
Optimizing Data Usage via Differentiable Rewards,"Xinyi Wang, Hieu Pham, Paul Michel, Antonios  Anastasopoulos, Jaime Carbonell, Graham Neubig",5889
Optimistic Policy Optimization with Bandit Feedback,"Lior Shani, Yonathan Efroni, Aviv Rosenberg, Shie Mannor",5890
Maximum-and-Concatenation Networks,"Xingyu Xie, Hao Kong, Jianlong Wu, Wayne Zhang, Guangcan Liu, Zhouchen Lin",5891
Learning Adversarial Markov Decision Processes with Bandit Feedback and Unknown Transition,"Chi Jin, Tiancheng Jin, Haipeng Luo, Suvrit Sra, Tiancheng Yu",5892
Kernelized Stein Discrepancy Tests of Goodness-of-fit  for Time-to-Event Data,"Wenkai Xu, Tamara Fernandez, Nicolas Rivera, Arthur Gretton",5893
Efficient Intervention Design for Causal Discovery with Latents,"Raghavendra Addanki, Shiva Kasiviswanathan, Andrew McGregor, Cameron Musco",5894
Certified Data Removal from Machine Learning Models,"Chuan Guo, Tom Goldstein, Awni Hannun, Laurens van der Maaten",5895
One Size Fits All: Can We Train One Denoiser for All Noise Levels?,"Abhiram Gnanasambandam, Stanley Chan",5896
GNN-FiLM: Graph Neural Networks with Feature-wise Linear Modulation,Marc Brockschmidt,5897
Sparse Gaussian Processes with Spherical Harmonic Features,"Vincent Dutordoir, Nicolas Durrande, James Hensman",5898
Asynchronous Coagent Networks,"James Kostas, Chris Nota, Philip Thomas",5899
Adaptive Checkpoint Adjoint Method for Gradient Estimation in Neural ODE,"Juntang Zhuang, Nicha Dvornek, Xiaoxiao Li, Sekhar Tatikonda, Xenophon Papademetris, James Duncan",5900
Understanding the Curse of Horizon in Off-Policy Evaluation via Conditional Importance Sampling,"Yao Liu, Pierre-Luc Bacon, Emma Brunskill",5901
Taylor Expansion Policy Optimization,"Yunhao Tang, Michal Valko, Remi Munos",5902
Reinforcement Learning for Integer Programming: Learning to Cut,"Yunhao Tang, Shipra Agrawal, Yuri Faenza",5903
Safe Reinforcement Learning in Constrained Markov Decision Processes,"Akifumi Wachi, Yanan Sui",5904
Layered Sampling for Robust Optimization Problems,"Hu Ding, Zixiu Wang",5905
